,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset.1,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle,result
158,2170593.0,1178566.0,411864.0,940538.0,2522519.0,2512397.0,272896.0,159672.0,0.16,205282.0,229349.0,-300909.0,133722.0,6.85,6.73,10.12,3.06,6.33,1.19,3.95,1.25,0.44,4.7,1.06,2.61,139.9,6.5,56.14,5.45,66.97,129.07,1
181,1220208.0,514010.0,285000.0,706198.0,1048379.0,1051039.0,12755.0,-7911.0,-0.07,-83833.0,-31217.0,330307.0,215257.0,-3.34,-0.72,20.92,-1.92,-0.75,0.73,-1.26,2.01,1.31,3.55,0.95,2.86,127.63,3.05,119.48,5.54,65.86,181.24,0
428,2669927.88,145546.95,3335000.09,2524170.4,76866.43,126978.11,-37425.93,-59366.58,-0.01,-436972.59,362298.72,-5354.27,-80028.15,-2.49,-2.18,49.24,-83.04,-77.23,0.06,-124.7,16.73,11.96,0.17,0.03,0.05,7832.48,0.08,4325.23,0.19,1874.68,10283.02,0
122,1590379.38,1118491.36,158000.0,471167.06,1548360.78,1450118.86,137007.06,98241.92,0.21,-14853.03,85869.07,356365.91,427381.95,14.64,7.36,13.41,4.2,6.34,2.37,3.27,2.32,2.27,9.2,1.16,23.37,15.62,2.73,133.81,2.78,131.41,18.02,1
444,558161.09,109686.35,170000.0,448474.46,347419.26,355940.45,14936.19,-9032.09,-0.02,24393.28,-16087.67,-4637.37,3668.23,-2.46,-1.6,24.24,-3.22,-2.6,0.24,-3.24,1.3,0.33,1.42,0.62,2.55,143.2,15.11,24.16,10.6,34.42,132.94,0
108,1357859.76,36513.62,105650197.65,1321346.13,25013.63,118236.15,49695.54,38845.59,0.0,-190798.05,139203.85,496527.55,444933.35,5.17,3.53,-36.29,212.33,155.3,0.03,35.25,70.21,67.62,0.85,0.02,21.01,17.37,0.0,109539.14,0.03,13401.39,96155.12,1
391,755388.53,349797.24,154327.51,405591.29,458891.33,391290.19,125198.52,67601.14,0.08,113106.66,-41453.16,-68811.66,2841.83,12.64,9.12,25.69,10.2,14.73,0.86,5.24,0.81,0.67,0.74,0.62,433.09,0.84,7.77,47.0,8.61,42.38,5.46,1
256,1472465.75,875955.07,225000.0,573695.71,1470801.01,1328539.48,147798.53,142261.53,0.25,80129.34,-46938.57,-15352.4,17838.37,19.84,10.62,15.26,7.71,9.67,1.47,1118.85,1.5,0.61,278.58,1.1,8.06,45.31,6.3,57.97,2.81,129.74,-26.47,1
148,2419102.85,1850102.51,213749.98,568996.76,721366.18,757991.69,274975.36,-36711.49,-0.1,186709.71,-118581.71,6920.73,75048.73,-14.83,-1.57,11.31,-12.2,-5.09,3.25,-0.73,0.53,0.42,0.37,0.31,19.23,18.98,31.33,11.65,9.62,37.95,-7.32,0
539,1158630.37,405820.93,260000.0,752809.45,795301.03,740505.98,70629.84,54795.05,0.07,173711.39,-62171.86,29224.2,140763.73,4.67,4.66,9.92,4.43,6.89,0.54,4.48,2.8,1.68,1.46,0.68,2.09,174.76,7.82,46.66,7.73,47.2,174.22,1
27,1424880.63,556926.33,259229.38,867604.48,1305219.94,1223201.34,125520.49,71723.4,0.12,160928.6,-122812.56,-28160.69,9955.35,6.67,5.18,15.09,4.22,5.5,0.64,9.23,1.38,0.68,1.6,0.94,5.29,69.06,6.1,59.84,5.09,71.75,57.15,1
227,3138322.0,2201039.0,330475.0,937282.0,647964.0,742289.0,-24650.0,-94443.0,-0.18,-19062.0,350870.0,-328607.0,3201.0,-25.19,-2.96,11.61,-36.85,-14.58,2.35,-0.65,0.81,0.13,0.61,0.2,0.76,480.03,1.8,203.0,2.7,135.07,547.96,0
87,2590250.45,944496.93,110000.0,1645753.53,1647198.8,1390341.47,398861.0,256857.32,1.21,407959.72,-1226441.51,1207016.78,388535.0,22.75,15.04,56.31,12.48,15.59,0.57,24.1,2.38,0.66,2.44,0.96,7.01,52.07,754.25,0.48,4.38,83.38,-30.83,1
131,511897.52,143297.17,150003.08,368596.86,125993.16,47340.66,89045.14,79060.18,0.24,29517.8,46019.26,-30620.52,44916.54,21.44,16.8,73.36,57.37,62.75,0.39,31.79,2.55,2.41,0.9,0.27,2.48,147.03,8.37,43.62,0.97,376.32,-185.67,1
321,486732.32,148015.96,230000.0,338716.16,561078.14,537222.24,38416.11,23855.9,0.05,-37972.04,-7204.7,48623.05,3446.32,6.16,5.25,20.37,3.41,4.25,0.44,16.02,3.3,1.92,4.16,1.23,6.27,58.21,8.17,44.66,5.22,69.95,32.93,1
413,956984.74,508955.01,250000.0,448029.73,1388707.2,1407323.24,1101.24,-17262.56,-0.04,-148020.25,22247.35,110781.61,-14991.29,-4.76,-1.85,0.54,-1.6,-1.24,1.14,-2.04,1.38,0.79,8.83,1.49,25.42,14.36,4.8,76.04,7.03,51.9,38.5,0
518,869375.83,164708.53,200000.0,704667.3,1965091.84,1859120.3,142690.14,105971.54,0.11,126406.21,-66723.82,-44000.0,15682.4,13.1,12.4,15.01,4.51,5.39,0.23,18822.65,2.19,0.62,3.93,2.3,6.69,54.59,68.13,5.36,10.37,35.19,24.76,1
126,7323301.94,1956075.45,1185974.79,5362361.24,1892383.8,1857402.91,43330.43,-23612.11,-0.05,-20212.39,382266.98,-310088.93,51965.67,-2.05,-0.32,7.8,-5.77,-1.25,0.36,-0.34,0.71,0.3,1.17,0.25,18.99,19.22,5.71,63.88,3.7,98.64,-15.54,0
