symbol,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle
24CS,"1,018,862.54","409,792.60","215,000.00","609,069.93","982,263.52","945,659.45","44,330.42","36,604.06","24,494.23",0.08,"-195,061.83","-7,469.19","364,337.09","161,806.07",6.57,5.12,11.09,2.49,3.73,0.67,7.22,2.46,1.16,46.24,1.37,18.5,19.73,5.49,66.47,3.86,94.6,-8.4
A5,"2,491,673.39","1,596,290.68","604,692.31","895,382.71","664,434.46","559,564.64","109,969.94","106,408.26","97,787.46",0.08,"-941,078.77",-9.92,"1,115,416.44","174,327.75",11.47,5.91,33.65,15.26,16.01,1.78,7.7,3.59,0.63,100.42,0.37,0.45,807.89,15.8,23.1,5.68,64.27,766.73
ABM,"1,276,244.68","702,685.51","200,000.00","591,341.46","2,715,690.80","2,648,817.29","90,465.13","66,842.71","35,886.38",0.11,"-104,256.72","-60,251.84","169,376.19","4,867.63",7.44,5.79,13.88,1.29,2.46,1.23,3.35,1.2,0.68,5.67,2.35,8.78,41.56,9.06,40.29,45.28,8.06,73.79
ACAP,"3,228,735.26","3,210,371.72","158,205.58","18,363.53","9,400.04","-1,195.28","515,345.94","492,048.70","-97,426.31",-0.31,"-44,542.63","202,169.87","-156,993.86",633.38,-146.93,14.51,"-50,829.20","-1,036.45","5,234.54",174.82,0.83,0.12,0,-,0,N/A,-,N/A,-,N/A,-,-
ADB,"1,626,388.23","982,657.01","362,999.96","643,731.22","2,166,512.61","2,155,787.02","60,896.32","7,701.11","-6,934.29",-0.01,"-116,346.48","-39,185.90","195,831.42","40,299.04",-1.04,0.5,9.31,-0.32,0.36,1.53,0.56,1.2,0.59,4.26,1.41,4.05,90.21,5.18,70.51,7.91,46.16,114.55
ADD,"606,121.87","73,566.10","80,000.00","528,938.19","334,084.89","280,977.40","57,176.38","53,813.66","45,716.14",0.29,"60,069.28","-137,578.98","-71,184.37","-148,694.07",8.48,8.57,27.9,13.47,16.11,0.14,235.47,7.09,6.99,40.69,0.53,N/A,-,3.45,105.91,3.42,106.78,-0.86
AF,"2,384,298.25","1,858,674.46","400,000.00","525,623.79","226,489.38","127,155.26","107,915.06","99,334.13","45,260.72",0.03,"-54,144.88","-1,036.56","24,344.69","-30,836.74",8.57,4.23,81.11,19.98,43.86,3.54,2.33,1.25,0.04,-,0.1,N/A,-,N/A,-,N/A,-,-
AIRA,"9,644,386.18","5,084,460.34","1,578,719.63","3,673,990.62","962,400.29","847,564.88","320,332.17","167,470.94","-14,793.81",-,"426,815.91","-38,849.45","-461,046.32","-73,079.86",-0.4,1.69,69.09,0.24,17.4,1.12,0.99,1.48,0.17,-,0.1,N/A,-,N/A,-,N/A,-,-
AKP,"727,530.88","124,203.72","202,000.00","603,327.16","384,193.29","354,038.97","72,699.29","39,512.47","29,286.21",0.07,"45,525.74","-118,468.68","-31,519.27","-104,462.21",4.9,5.44,21.78,7.62,10.28,0.21,8.44,4.71,3.09,2.77,0.53,N/A,-,3.85,94.93,5.55,65.82,29.1
ALL,"6,705,059.98","5,832,834.36","859,262.34","872,219.72","647,834.89","1,397,928.06","-957,240.78","-979,916.84","-1,494,794.31",-1.01,"-188,430.10","-24,995.06","192,761.66","-20,663.50",-103.79,-13.42,15.26,-230.74,-151.26,6.69,-2.29,0.84,0.03,3.12,0.09,0.14,"2,640.76",3.79,96.36,0.78,465.12,"2,272.00"
ALPHAX,"1,807,424.12","259,805.37","478,495.94","1,358,730.18","355,364.71","273,301.83","69,080.18","58,896.85","36,677.72",0.02,"-293,723.52","-6,638.35","575,877.48","275,515.61",3.89,4.29,53.01,10.4,16.57,0.17,20.98,8.85,2.32,11.31,0.26,0.44,822.48,708.86,0.51,2.29,159.22,663.78
AMA,"4,464,932.95","1,585,707.24","258,958.39","2,800,647.16","3,238,312.13","2,728,747.08","871,175.59","538,674.42","462,429.16",0.89,"812,932.00","-90,008.90","-427,609.05","295,314.05",17.94,12.55,21.89,14.38,16.63,0.55,11.02,1.05,0.92,0.9,0.75,29.89,12.21,13.6,26.83,15.51,23.53,15.51
AMARC,"699,346.26","151,451.18","210,000.00","547,895.08","264,260.58","240,144.11","57,620.51","24,116.47","14,516.00",0.04,"53,519.53","-201,588.98","192,376.62","44,307.18",3.82,4.2,39.91,5.49,9.13,0.28,3.91,4.38,1.35,0.75,0.46,16.06,22.73,5.6,65.17,5.98,61.08,26.81
