symbol,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle
SELIC,"2,781,938.00","1,547,076.00","295,642.00","959,465.00","1,624,702.00","1,543,379.00","135,626.00","75,326.00","40,245.00",0.08,"128,320.00","-615,469.00","566,397.00","79,248.00",4.95,3.32,22,2.44,4.64,1.25,3.14,1.61,0.91,3.34,0.72,3.5,104.43,4.88,74.84,5.02,72.64,106.63
SENX,"5,837,741.92","2,152,659.42","2,100,000.00","3,679,019.32","845,044.70","926,952.67","168,286.29","-89,053.85","-197,815.85",-0.05,"358,557.91","352,418.15","45,363.65","756,339.71",-5.32,-1.5,29.62,-23.5,-10.54,0.58,-0.97,2.86,0.51,12.54,0.14,0.13,"2,807.86",5.17,70.61,1.9,191.64,"2,686.83"
SFT,"1,046,357.89","289,928.57","220,000.00","756,429.32","863,248.06","779,547.49","138,794.56","83,700.58","63,061.41",0.14,"101,028.83","-151,145.77","-18,030.78","-68,147.72",8.44,8.41,21.61,7.31,9.7,0.38,16.69,2.38,1.03,1.83,0.87,2.94,124.1,5.11,71.4,5.1,71.63,123.87
SGF,"2,949,161.94","1,166,857.49","1,637,500.00","1,782,304.45","516,160.60","406,552.61","123,492.01","109,607.99","41,265.12",0.03,"-353,447.25","67,154.89","300,996.32","14,703.97",2.34,3.95,85.78,7.99,21.24,0.65,1.54,1.34,0.07,-,0.19,N/A,-,N/A,-,N/A,-,-
SICT,"651,333.12","136,463.63","200,000.00","514,869.49","602,499.38","464,890.20","162,177.72","137,609.18","135,075.58",0.34,"92,208.07","-59,084.94","-18,408.55","14,714.57",29.7,24.22,52.51,22.42,22.84,0.27,"5,186.93",4.06,1.86,15.65,1.06,1.57,231.84,7.8,46.81,4.02,90.82,187.83
SIMAT,"1,684,173.79","430,659.48","648,564.61","1,015,609.55","928,364.88","813,965.86","244,158.29","115,342.93","62,706.54",0.11,"194,625.58","-78,116.40","13,147.83","129,657.02",6.37,6.7,34.61,9.11,12.42,0.34,7.42,2.8,1.6,1.52,0.54,5.94,61.49,5.23,69.82,4.79,76.17,55.14
SK,"533,471.53","181,141.87","230,000.00","352,329.38","626,251.11","617,622.71","23,581.80","8,911.36","9,448.65",0.02,"69,309.52","-37,314.24","9,846.19","41,841.47",2.67,1.68,15.41,1.51,1.42,0.51,7.76,2.43,1.33,4.18,1.18,6.76,54.03,8.13,44.91,10.7,34.1,64.84
SLM,"139,474.67","68,979.57","128,077.70","70,495.10","207,307.21","184,519.78","27,381.46","22,787.43","22,466.64",0.09,"33,338.58","-3,051.87","-3,960.00","26,326.71",37.91,16.61,42.75,10.84,10.99,0.98,55.21,1.76,1.37,20.68,1.51,304.7,1.2,8.03,45.48,2.57,141.89,-95.21
SMART,"746,644.00","141,729.00","520,783.00","604,915.00","572,287.00","521,126.00","96,919.00","51,161.00","38,962.00",0.04,"84,648.00","-81,127.00","-48,086.00","-44,565.00",6.43,6.97,18.52,6.81,8.94,0.23,26.54,2.83,1.91,1.28,0.78,12.41,29.41,5.49,66.46,6.07,60.14,35.73
SMD,"1,210,574.01","182,810.76","112,341.91","1,027,763.25","2,013,785.23","1,635,755.61","406,202.02","374,859.99","296,661.15",1.32,"466,090.47","-6,214.60","-396,830.62","63,045.24",30.81,28.97,29.45,14.73,18.61,0.18,43.85,9.64,6.81,15.59,1.56,4.81,75.85,10.08,36.2,22.38,16.31,95.74
SONIC,"1,745,336.27","430,549.34","379,772.73","1,293,573.04","3,836,189.22","3,428,551.06","440,665.76","407,638.16","307,587.58",0.42,"615,251.16","-146,770.77","-170,111.46","298,368.94",26.65,23.96,18.03,8.28,10.63,0.33,44.09,3.98,3.86,5.9,2.25,N/A,-,8.12,44.95,20.09,18.16,26.79
SPA,"2,419,102.85","1,850,102.51","213,749.98","568,996.76","721,366.18","757,991.69","274,975.36","-36,711.49","-88,029.56",-0.1,"186,709.71","-118,581.71","6,920.73","75,048.73",-14.83,-1.57,11.31,-12.2,-5.09,3.25,-0.73,0.53,0.42,0.37,0.31,19.23,18.98,31.33,11.65,9.62,37.95,-7.32
SPVI,"1,052,946.57","503,099.49","200,000.00","549,847.08","5,615,764.99","5,449,320.31","261,749.16","166,444.69","126,565.90",0.32,"148,918.92","-67,943.55","-130,141.01","-49,165.64",24.3,18.05,10.62,2.25,2.96,0.91,19.66,1.8,0.29,25.12,6.09,10.72,34.06,76.56,4.77,22.1,16.52,22.3
SR,"2,699,644.00","1,871,984.00","338,350.00","804,675.00","1,337,171.00","1,379,445.00","45,415.00","-35,758.00","-55,781.00",-0.08,"-160,955.00","-227,634.00","393,129.00","4,540.00",-6.7,-1.4,14.9,-4.83,-2.67,2.26,-1.62,1.05,0.54,1.09,0.52,15.05,24.26,4.17,87.5,3.68,99.26,12.49
SSS,"129,396.90","4,344.26","238,636.98","125,052.64","3,501.71","65,945.00","-130,397.60","-131,922.21","-132,119.67",-0.39,"-17,420.11","85,119.11","-19,826.15","47,872.85",-77.07,-71.11,43.07,"-3,773.00","-3,767.37",0.03,-668.1,31.68,30.29,1.26,0.02,N/A,-,0.24,"1,536.60",0.55,666.03,870.57
STC,"673,863.11","302,957.95","284,000.00","370,905.16","436,396.80","423,674.13","37,772.41","7,256.70","1,332.89",-,"13,402.30","-80,285.12","65,664.82","-1,217.99",0.36,1.15,26.28,0.31,1.66,0.82,1.48,0.86,0.63,0.95,0.69,7.68,47.55,3.57,102.22,3.95,92.36,57.4
STOWER,"1,219,164.48","152,443.45","3,697,251.39","1,074,131.21","360,088.92","452,158.43","-75,908.72","-92,069.51","-107,460.03",-,"-105,857.21","-487,953.76","404,438.13","-189,372.85",-12.58,-8.89,10.98,-28.97,-25.57,0.14,-11.13,9.09,3.36,0.82,0.35,3.75,97.28,3.73,97.92,6.32,57.72,137.48
STP,"843,729.36","205,125.78","100,000.00","638,603.58","562,572.23","425,060.62","170,893.08","137,511.61","109,645.14",1.23,"154,945.63","-416,101.61","258,262.35","-2,893.63",24.8,20.65,35.05,19.49,24.44,0.32,26.47,6.18,5.48,1.89,0.84,6.24,58.47,5.11,71.47,5.8,62.93,67.01
SWC,"1,273,543.91","554,122.33","226,696.48","692,182.80","1,696,795.16","1,639,837.63","103,238.11","56,957.53","17,256.02",0.04,"25,527.40","-36,209.87","65,589.79","54,907.32",2.49,4.57,33.43,1.39,3.36,0.77,29.32,1.75,1.14,4.67,1.36,4.37,83.48,6.02,60.6,3.52,103.56,40.52
TACC,"1,178,700.79","415,806.84","152,000.00","762,893.96","1,533,428.19","1,240,126.72","317,507.99","295,727.14","235,152.96",0.39,"271,809.09","-67,219.61","-190,285.28","14,304.21",31.24,26.37,35.2,15.34,19.29,0.55,256.6,2.71,1.22,13.6,1.37,18.36,19.88,5.33,68.51,3.68,99.1,-10.7
TAKUNI,"3,179,364.38","1,587,287.71","400,000.12","1,037,458.70","3,930,467.06","3,583,054.97","443,678.69","342,178.59","127,808.26",0.16,"315,182.59","-220,672.69","-444,977.19","-350,467.29",13.02,11.6,11.18,6.59,8.71,1,22.73,1.11,0.51,5.71,1.33,44.99,8.11,7.76,47.06,7.36,49.61,5.56
TAPAC,"2,170,593.00","1,178,566.00","411,864.00","940,538.00","2,522,519.00","2,512,397.00","272,896.00","159,672.00","63,562.00",0.16,"205,282.00","229,349.00","-300,909.00","133,722.00",6.85,6.73,10.12,3.06,6.33,1.19,3.95,1.25,0.44,4.7,1.06,2.61,139.9,6.5,56.14,5.45,66.97,129.07
THANA,"1,102,510.08","554,891.17","277,375.42","539,311.97","702,555.59","615,239.72","111,415.35","108,994.20","84,371.58",0.33,"-24,019.81","87,674.84","-18,038.28","45,616.75",17.99,10.49,32.13,11.45,15.51,1.01,10.93,2.21,0.18,75.86,0.68,0.63,582,11.6,31.46,6.63,55.03,558.43
THMUI,"663,826.26","291,274.73","170,000.00","364,151.29","379,954.86","378,601.29","20,398.94","1,353.57","-4,557.60",-0.01,"-11,348.91","-2,752.90","-15,766.97","-29,868.79",-1.24,0.21,37.5,-1.47,0.36,0.78,0.17,2.4,0.75,3.59,0.58,0.89,408.6,3.31,110.24,2.76,132.17,386.67
TIGER,"827,905.84","244,777.38","230,000.00","583,934.51","667,405.23","656,170.04","28,186.13","10,687.15","6,144.28",0.01,"59,930.57","7,862.94","-37,275.73","30,517.79",1.04,1.29,8.9,0.82,1.6,0.42,4.21,2.95,0.96,9.92,0.8,197.29,1.85,3.54,103.11,4.71,77.51,27.45
TITLE,"1,236,981.32","574,530.78","360,948.75","662,450.54","595,964.09","506,702.03","100,430.92","89,262.06","61,186.65",0.08,"488,199.79","-7,185.85","-463,187.04","17,826.90",9.74,6.57,44.37,10.27,14.98,0.87,7.93,1.05,0.17,8.94,0.44,0.58,633.25,"3,753.99",0.1,26.73,13.65,619.7
TM,"929,755.86","440,996.52","153,999.99","431,584.71","645,039.19","626,482.45","43,581.19","23,244.69","12,989.31",0.04,"15,528.78","-127,133.18","55,583.64","-56,020.76",2.96,2.63,35.55,1.72,3.6,0.9,3.7,1.54,0.91,1.93,0.73,2.33,156.61,3.21,113.83,6.15,59.33,211.11
TMC,"734,533.49","139,371.39","458,773.72","595,162.10","364,087.58","258,236.50","299,037.25","277,291.25","266,639.65",0.58,"28,724.12","314,599.52","-245,037.87","98,285.77",57.73,38.42,21.78,73.24,76.16,0.23,26.03,5.65,1.49,2.37,0.5,2.37,153.72,7.71,47.37,2.94,124.24,76.85
TMI,"761,802.16","508,885.55","167,860.22","226,082.14","568,886.41","526,901.14","68,939.28","41,985.27","30,208.98",0.04,"29,221.38","-99,302.79","69,481.90",-599.51,14.32,6.05,33.05,4.25,7.38,2.01,2.92,0.6,0.36,1.6,0.82,3.61,101.23,3.71,98.34,3.96,92.09,107.48
TMILL,"2,097,510.23","1,012,060.90","398,664.06","1,085,449.32","1,966,037.56","1,818,028.69","213,345.86","152,612.77","109,403.56",0.27,"271,882.56","-5,971.98","-249,176.32","16,734.26",10.2,7.78,15.12,5.56,7.76,0.93,10.64,1.75,0.46,2.59,1,1.91,191.43,8.57,42.58,6.54,55.82,178.19
TMW,"3,516,029.00","829,279.00","199,500.00","2,686,750.00","3,555,203.29","3,355,484.64","454,433.62","199,718.65","175,993.79",4.41,"485,401.29","-298,880.42","-102,207.19","84,313.68",6.73,5.93,14.93,4.95,5.62,0.31,180.37,2.27,1.86,1.86,1.06,11.28,32.36,5.77,63.22,5.18,70.5,25.08
TNDT,"1,145,445.52","651,069.37","403,035.00","506,505.44","252,965.92","265,495.84","15,547.94","-12,529.92","-55,352.06",-0.08,"14,369.20","-54,120.47","41,621.73","1,870.45",-11.07,-1.08,29,-21.92,-4.95,1.32,-0.3,0.51,0.16,0.39,0.22,33.27,10.97,4.68,78.07,40.06,9.11,79.93
TNH,"3,037,754.00","500,711.00","180,000.00","2,537,043.00","2,435,933.58","2,041,395.83","503,982.04","402,888.17","326,316.10",1.81,"541,581.39","130,488.39","-107,999.70","564,070.08",13.44,13.82,26.67,13.4,16.54,0.2,N/A,3.98,3.3,1.82,0.84,43.03,8.48,6.96,52.44,8.32,43.85,17.08
TNP,"1,249,514.79","258,955.34","200,000.00","990,559.45","2,448,726.41","2,262,272.68","237,218.90","186,453.73","149,014.87",0.19,"112,274.01","-116,215.39","-71,815.02","-75,756.40",15.68,15.29,17.15,6.09,7.61,0.26,82.03,2.42,0.45,3.23,2.01,6.12,59.67,126.06,2.9,11.71,31.17,31.39
TPCH,"9,258,311.09","5,341,290.83","401,200.00","3,043,884.75","2,758,265.59","2,214,318.61","872,357.67","506,129.59","173,131.68",0.43,"728,906.00","-518,039.14","-525,825.28","-314,958.42",5.84,5.39,21.69,10.61,18.35,1.36,2.53,1.14,0.57,0.38,0.29,31.57,11.56,5.76,63.32,12.27,29.76,45.12
TPLAS,"383,066.48","58,325.88","135,000.00","324,740.60","566,141.95","529,579.29","48,663.09","36,562.67","29,616.33",0.11,"31,404.33","-13,207.43","-27,283.62","-9,086.72",9.17,9.57,16.59,5.23,6.46,0.18,809.63,4.36,2.73,2.83,1.48,8.19,44.54,8.76,41.66,12.37,29.52,56.69
TPS,"890,079.11","435,899.42","167,999.94","454,228.77","986,856.99","892,874.03","108,446.14","93,982.96","75,829.00",0.22,"-152,984.09","-1,752.81","52,526.58","-102,210.32",17.65,11.29,26.35,7.48,9.52,0.96,68.76,1.74,1.09,6.03,1.19,7.23,50.48,4.61,79.1,3.64,100.21,29.37
