symbol,Total_Asset,Total_Liabilities,Paid-up,Equity,Revenue,Expenses,EBITDA,EBIT,NetProfit,EPS,OperatingCashFlow,InvestingCashFlow,FinancingCashFlow,NetCashFlow,ReturnOnEquity,ReturnOnAsset,GrossProfitMargin,NetProfitMargin,EBITMargin,DE,Int.Coverage,CurrentRatio,QuickRatio,FixedAssetTurnover,TotalAssetTurnover,InventoryTurnover,AverageSalePeriod,AccountsReceivableTurnover,AverageCollectionPeriod,AccountPayableTurnover,AveragePaymentPeriod,CashCycle
PSG,"649,691.21","482,536.48","10,114,938.16","167,154.73","392,015.54","480,653.75","-82,939.43","-88,638.21","-91,007.49",-0.01,"-3,279.90","6,164.26",-328.23,"2,556.13",-54.45,-13.64,3.61,-23.22,-22.61,2.89,-36.17,0.3,0.27,4.7,0.6,689.09,0.53,4.91,74.33,1.46,249.74,-174.87
PSTC,"10,236,548.76","3,336,274.86","1,185,974.79","6,896,142.49","5,183,898.23","3,076,398.97","3,646,462.52","3,520,308.61","3,128,780.20",0.38,"-622,502.31","1,440,514.56","-967,314.87","-149,302.62",62.39,41.41,13.26,60.43,67.91,0.48,27.85,0.9,0.72,1.6,0.61,16.64,21.93,2.65,137.52,7.04,51.86,107.6
QLT,"542,451.14","85,954.12","98,568.49","456,463.33","480,575.76","425,436.23","81,892.27","55,139.53","50,938.46",0.52,"30,388.00",502.21,"-31,780.93",-890.72,11.38,10.73,26.06,10.58,11.47,0.19,92.7,5.94,4.13,2.58,0.94,50.17,7.27,5.53,66.05,8.46,43.14,30.19
QTC,"1,856,373.99","217,545.90","341,092.56","1,637,136.83","983,674.04","768,428.51","294,786.95","217,625.89","198,647.30",0.58,"314,826.32","-84,965.68","-202,897.10","26,963.54",12.91,11.53,36.25,20.17,22.12,0.13,24.53,5.17,3.94,1.45,0.52,3.29,110.87,5.04,72.41,7.68,47.52,135.76
RP,"1,204,568.35","320,745.47","191,249.75","883,822.88","722,049.57","701,563.31","144,403.29","20,486.26","7,292.44",0.04,"162,006.42","-148,748.98","-24,443.27","-11,185.82",0.82,1.72,15.2,1.01,2.84,0.36,1.84,1.1,0.87,0.7,0.6,32.96,11.08,71.33,5.12,10.6,34.43,-18.24
RWI,"1,011,581.93","229,518.04","318,182.59","782,063.90","683,970.67","767,330.35","-265,743.61","-289,076.95","-282,077.26",-0.44,"88,032.66",-386.7,"-123,834.94","-36,188.98",-30.53,-23.16,-1.21,-41.24,-42.26,0.29,-46.32,2.42,1.5,3.01,0.55,3.15,115.81,3.45,105.67,12.94,28.2,193.28
SAAM,"400,731.42","110,694.17","150,000.00","290,397.62","73,325.05","47,420.49","31,766.66","25,904.56","16,549.11",0.06,"30,281.00","-79,980.23","-62,160.21","-111,859.45",5.63,6.13,73.5,22.5,35.33,0.38,5.64,6.45,5.83,0.58,0.17,1.81,201.18,8.28,44.09,2.81,129.92,115.34
SALEE,"1,920,013.88","344,809.01","380,121.02","1,186,331.05","1,254,639.95","1,304,438.31","83,128.22","-49,798.36","-30,066.91",-0.02,"91,148.71","-65,405.05","-64,219.16","-38,475.50",-2.48,-2.51,16.08,-3.56,-3.97,0.22,-5.41,3.07,2.54,1.46,0.63,6.6,55.27,4.51,80.99,9.28,39.33,96.93
SANKO,"436,895.00","225,374.00","152,694.00","211,521.00","602,139.00","563,632.00","69,622.00","38,655.00","38,192.00",0.13,"61,447.00","-39,091.00","-30,600.00","-8,244.00",19.71,9.42,19.51,6.34,6.42,1.07,6.05,1.03,0.58,2.58,1.47,8.89,41.04,7.47,48.89,5.49,66.44,23.5
SE,"449,104.02","112,060.53","120,000.00","337,043.49","480,143.11","444,567.43","48,933.25","42,378.20","35,449.65",0.15,"-7,403.03","11,030.58","-10,446.71","-6,819.15",10.94,9.74,27.47,7.38,8.83,0.33,"1,256.02",2.33,1.77,41.24,1.1,8.6,42.42,4.99,73.14,3.42,106.69,8.87
SEAOIL,"2,967,496.99","1,555,662.40","553,559.66","1,395,489.78","6,519,405.59","6,484,917.21","187,693.51","146,323.36","60,849.90",0.11,"101,106.78","133,364.96","-161,405.74","73,066.00",4.44,5.12,3.35,1.12,2.24,1.1,2.63,0.81,0.78,9.82,2.28,337.85,1.08,9.56,38.17,16.89,21.61,17.64
SELIC,"1,593,496.00","1,161,039.00","145,000.00","432,455.00","1,396,977.00","1,252,327.00","195,161.00","145,459.00","85,810.00",0.3,"148,400.00","-803,255.00","561,164.00","-93,691.00",21.95,13.61,24.46,6.14,10.41,2.68,3.51,1.54,0.85,6.55,1.31,5.31,68.74,6.76,54.03,5.09,71.69,51.08
SENX,"8,707,176.13","3,691,809.44","2,100,000.00","5,015,366.70","2,219,718.47","2,079,696.82","179,035.07","88,732.53","-157,127.72",-0.04,"701,709.45","51,020.62","-694,669.74","58,060.33",-3.07,0.95,24.44,-7.08,4,0.74,0.49,2.05,0.1,75.84,0.24,0.26,"1,429.53",163.48,2.23,1.91,190.75,"1,241.01"
SGF,"2,347,427.78","568,405.89","1,637,500.00","1,779,021.89","342,298.92","245,212.99","105,735.18","97,085.93","55,625.03",0.04,"-197,458.69","3,840.82","170,286.94","-23,330.93",3.13,4.14,88.08,16.25,28.36,0.32,2.4,1.49,0.11,-,0.15,N/A,-,N/A,-,N/A,-,-
SIMAT,"1,704,734.00","1,086,104.00","525,513.00","480,422.00","2,030,129.00","1,829,338.00","182,580.00","134,539.00","69,027.00",0.13,"-143,702.00","-372,876.00","471,485.00","-45,093.00",14.78,8.66,22.7,4.98,6.63,1.76,5.15,0.97,0.31,14.58,1.31,13.03,28.01,6.67,54.75,6.04,60.48,22.28
SKY,"4,764,917.59","3,281,916.89","268,840.66","1,467,133.20","3,971,868.77","3,793,511.50","329,533.27","307,161.56","218,510.61",0.43,"-1,638,774.70","-230,786.29","1,857,214.27","-12,346.72",17.26,7.73,11.39,5.63,7.73,2.21,5.08,1.04,0.46,32.22,1,3.45,105.84,5.28,69.16,2.67,136.62,38.38
SLM,"16,598.38","43,314.45","1,766,430.01","-26,716.07","12,246.34","31,552.63","-19,115.13","-19,306.28","-19,984.70",-0.07,"-26,089.07",9.19,"25,006.57","-1,073.32",-,-113.64,51.46,-163.19,-157.65,-,-28.64,0.26,0.05,44.1,0.72,N/A,-,9.15,39.89,0.17,"2,094.99","-2,055.10"
SMART,"612,592.00","120,237.00","460,000.00","492,355.00","466,821.00","424,030.00","87,973.00","42,791.00","44,235.00",0.1,"69,238.00","-15,040.00","-54,688.00",-490,9.39,6.93,18.88,9.48,9.17,0.24,10.15,0.91,0.7,0.91,0.76,19.78,18.45,7.11,51.33,6.13,59.55,10.24
SONIC,"864,503.93","252,359.79","275,000.00","606,505.07","1,150,489.48","1,079,530.13","93,357.06","70,832.66","46,532.73",0.08,"73,775.69","-181,536.96","-8,145.31","-115,906.57",8,8.3,21.01,4.18,6.16,0.41,9.79,2.46,2.4,2.63,1.35,N/A,-,5.91,61.73,13.29,27.47,34.26
SPA,"1,516,145.40","384,206.28","142,500.00","1,131,932.11","1,403,141.24","1,105,129.26","415,639.75","298,011.97","245,469.17",0.43,"325,443.39","-215,044.40","-137,281.97","-26,882.99",23.35,20.66,31.88,17.53,21.24,0.34,28.42,1.18,0.66,1.29,0.97,26.57,13.74,45.57,8.01,10.22,35.73,-13.98
SPVI,"728,700.72","349,727.86","200,000.00","378,972.86","3,609,913.89","3,515,165.47","120,059.23","94,748.42","75,695.99",0.19,"74,044.09","-58,405.90","-24,007.33","-8,369.14",21.39,14.24,11.23,2.1,2.62,0.92,111.77,1.9,0.66,73.89,5.43,9.22,39.59,61.95,5.89,11.1,32.88,12.6
SR,"2,239,452.00","1,045,958.00","338,350.00","1,146,442.00","1,703,581.00","1,667,014.00","74,427.00","39,025.00","20,383.00",0.03,"-41,724.00","-187,710.00","113,522.00","-115,912.00",1.76,1.84,13.15,1.25,2.29,0.88,3.3,1.6,1.16,3.81,0.8,7.87,46.37,3.1,117.71,4.32,84.52,79.56
SSS,"701,268.41","356,218.17","189,636.65","310,964.80","47,350.81","256,647.14","-186,886.33","-209,296.33","-112,511.17",-0.42,"-41,730.69","43,967.73","-16,513.16","-14,276.12",-30.21,-25.54,36.95,-385.75,-442.01,1.03,-17.98,1.21,0.23,0.13,0.06,N/A,-,0.04,"8,205.72",0.02,"21,206.19","-13,000.47"
STC,"597,497.17","169,751.55","284,000.00","427,745.62","422,047.02","382,443.57","65,807.72","39,603.46","25,770.56",0.06,"30,271.62","-18,745.38","4,186.44","15,712.68",7.28,6.89,31.86,6.11,9.38,0.4,4.58,1.58,1.25,1.05,0.73,7.9,46.19,3.47,105.11,3.03,120.31,30.99
STI,"785,026.33","159,942.70","134,000.00","625,083.63","727,281.11","619,857.36","112,812.72","107,423.75","85,502.18",0.32,"16,380.49","-387,922.97","-35,330.90","-406,873.39",14.28,14.31,33.75,11.76,14.77,0.26,221.09,8.07,5.81,47.16,0.97,191.35,1.91,7.01,52.07,11.46,31.85,22.13
STOWER,"2,300,354.78","1,825,663.83","1,316,252.59","483,338.73","1,123,313.06","1,798,578.34","-635,260.92","-704,195.32","-801,302.54",-0.06,"-93,762.17","142,884.00","296,372.04","345,493.87",-82.32,-26.19,-20.08,-73.21,-62.69,3.85,-10.15,1.3,0.32,1.38,0.42,3.41,106.88,3.03,120.43,3,121.6,105.71
SUN,"1,343,306.16","492,483.65","215,000.00","850,822.51","1,925,476.47","1,985,514.73","19,083.49","-45,818.79","-41,879.41",-0.1,"205,122.88","-59,077.29","83,324.34","229,369.93",-4.76,-3.51,7.55,-2.18,-2.38,0.58,-7.98,1.35,0.89,2.73,1.48,5.91,61.78,13.62,26.79,8.25,44.26,44.31
SWC,"1,298,135.31","594,912.24","153,333.20","693,164.63","1,665,261.42","1,445,276.38","244,315.64","219,985.04","171,302.75",0.57,"91,728.88","-31,545.69","37,020.27","97,203.46",25.84,19.61,40.14,10.4,13.21,0.85,54.69,1.66,1.21,5.15,1.48,3.84,95.08,4.99,73.2,3.36,108.63,59.65
TACC,-,-,-,-,"1,529,883.42","1,319,204.32","222,729.45","204,187.28","162,090.66",0.27,"232,354.14","-177,790.60","-118,465.68","-63,902.15",-,N/A,30.71,10.59,13.35,-,579.35,-,-,N/A,N/A,N/A,-,N/A,-,N/A,-,-
TAKUNI,"2,319,642.32","1,122,743.16","400,000.00","882,537.06","3,095,668.13","2,975,292.31","184,404.10","119,058.70","27,158.51",0.03,"-299,023.41","-153,205.10","361,113.12","-91,115.39",3.21,5.62,9.69,2.38,3.85,0.94,8.18,1.48,0.48,4.93,1.46,10.9,33.5,10.68,34.19,4.91,74.29,-6.6
TAPAC,"2,409,653.00","1,285,548.00","419,423.00","1,061,098.00","1,924,858.00","1,800,537.00","216,982.00","139,336.00","86,487.00",0.2,"109,699.00","-252,400.00","66,727.00","-75,974.00",8.37,6.18,19.85,4.75,7.24,1.14,3.77,1,0.5,3.1,0.85,2.93,124.62,5.46,66.86,4.75,76.8,114.68
THANA,"836,084.76","429,413.07","253,212.00","386,061.35","393,487.33","435,149.16","-37,368.47","-41,661.82","-60,733.04",-0.24,"92,075.75",-898.95,"-95,283.13","-4,106.34",-14.58,-4.58,21.69,-16.44,-10.59,1.06,-2.15,1.72,0.2,44.53,0.43,0.43,846.85,8.85,41.25,3.52,103.69,784.41
THMUI,"574,195.95","196,014.53","170,000.00","379,545.70","343,253.23","358,790.31","-1,962.90","-13,865.15","-15,137.91",-0.05,"15,855.67","-69,343.61","33,017.73","-20,470.21",-3.83,-2.5,38.73,-4.53,-4.04,0.52,-4.18,2.74,1.04,2.47,0.62,0.98,372.59,2.97,123.02,3.34,109.15,386.46
TIGER,"858,998.19","208,968.87","230,000.00","649,611.89","992,293.34","891,873.68","115,737.86","100,367.11","79,243.62",0.17,"-134,097.12","-74,362.54","-46,085.67","-254,545.33",12.51,12.69,15.54,8,10.11,0.32,120.76,3.65,1.68,12.28,1.25,325.1,1.12,4.66,78.39,10.94,33.35,46.17
TITLE,"1,151,811.55","392,303.98","329,999.26","759,507.57","1,294,215.27","994,138.17","307,878.77","300,077.10","234,321.18",0.36,"129,237.36","-64,033.64","-141,768.23","-76,564.52",35.76,20.65,46.33,18.11,23.19,0.52,143.02,1.52,0.47,23.09,0.89,1.31,278.85,"4,173.02",0.09,46.22,7.9,271.04
TM,"779,970.89","333,464.34","153,999.99","446,506.55","689,679.19","614,733.59","89,731.84","82,119.11","60,925.39",0.2,"154,200.25","-54,246.23","-28,910.94","71,043.08",14.17,10.89,39.34,8.83,11.91,0.75,13.17,1.84,1.27,6.74,0.91,2.31,157.75,3.09,117.96,4.72,77.26,198.44
TMC,"881,791.43","457,583.51","458,773.72","424,207.92","544,172.71","590,567.71","-16,400.15","-46,395.00","-59,172.16",-0.13,"-35,892.70","-2,346.18","38,922.12",683.25,-12.8,-5.38,6.89,-10.87,-8.53,1.08,-3.63,0.58,0.37,0.89,0.63,4.74,77.07,6.1,59.82,4.55,80.14,56.76
TMI,"423,983.56","244,151.09","167,860.22","179,995.25","394,248.06","395,425.38","15,825.64","-1,177.32","-8,383.41",-0.01,"53,284.03","-44,403.54","-5,603.41","3,277.08",-4.52,-0.28,33.35,-2.18,-0.3,1.36,-0.12,1.08,0.61,3.04,0.94,2.6,140.6,3.25,112.21,4.71,77.5,175.3
TMILL,"1,339,229.50","342,157.37","398,664.06","997,072.13","1,478,278.71","1,351,713.80","182,778.37","134,113.21","101,280.87",0.25,"275,296.83","-12,251.01","-270,778.95","-7,733.12",10.21,9.18,16.75,6.85,9.07,0.34,18.78,2.22,0.83,2.25,1.01,2.27,160.61,7.99,45.67,14.72,24.79,181.5
TMW,"3,457,269.00","1,021,402.00","199,500.00","2,435,867.00","3,078,546.44","2,748,596.23","572,101.07","329,950.22","279,287.46",7.01,"409,625.94","-368,291.16","39,604.64","80,939.42",11.87,10.1,19.67,9.07,10.72,0.42,50.23,1.66,1.32,1.65,0.94,12.1,30.16,5.15,70.81,3.99,91.38,9.59
TNDT,"1,051,194.86","605,761.91","100,000.00","455,670.95","342,166.77","284,021.52","93,244.26","58,145.25","21,763.28",0.22,"78,530.58","-25,631.69","-50,816.55","2,082.35",4.88,5.58,32.26,5.76,16.99,1.36,1.9,0.37,0.21,0.56,0.33,42.6,8.57,3.26,111.87,35.37,10.32,110.12
TNH,"2,203,240.00","359,198.00","180,000.00","1,844,042.00","2,219,934.00","1,826,912.00","480,585.00","393,022.00","318,311.00",1.77,"413,755.00","-676,048.00","-99,000.00","-361,293.00",18.35,16.29,26.36,14.34,17.7,0.19,N/A,3.54,3.41,1.96,0.92,47.76,7.64,15.8,23.11,10.15,35.98,-5.23
TNP,"869,375.83","164,708.53","200,000.00","704,667.30","1,965,091.84","1,859,120.30","142,690.14","105,971.54","88,600.68",0.11,"126,406.21","-66,723.82","-44,000.00","15,682.40",13.1,12.4,15.01,4.51,5.39,0.23,"18,822.65",2.19,0.62,3.93,2.3,6.69,54.59,68.13,5.36,10.37,35.19,24.76
TPAC,"4,386,672.49","2,537,190.54","326,550.00","1,744,374.73","3,797,701.42","3,506,603.88","584,278.14","295,455.51","138,841.44",0.53,"537,325.73","-631,115.71","119,074.06","25,284.08",10,6.89,17.56,4.29,7.78,1.37,2.1,1.46,0.99,5.12,0.89,10.66,34.23,4.64,78.6,10.38,35.16,77.67
TPCH,"7,821,507.50","4,114,283.05","401,200.00","2,801,218.62","1,655,530.52","1,014,748.71","815,592.27","654,398.47","359,510.82",0.9,"673,666.63","-1,997,884.01","1,302,337.71","-21,879.67",13.56,9.5,45.73,34.74,39.53,1.11,8.3,1.02,0.62,0.32,0.24,109.45,3.33,3.39,107.53,2.49,146.48,-35.61
TPLAS,"353,792.53","50,811.66","135,000.00","302,980.88","511,450.86","471,736.51","54,847.97","41,323.01","33,306.70",0.12,"74,256.38","-66,038.36","-29,148.27","-20,930.25",11.12,11.81,19.04,6.51,8.08,0.17,268.12,4.92,4.04,3.3,1.46,11.46,31.84,8.52,42.82,13.06,27.95,46.71
TPS,"631,610.77","251,773.76","140,000.00","379,837.01","642,264.08","580,149.20","67,583.85","62,114.88","48,920.99",0.23,"86,512.04","-74,816.63","175,713.79","187,409.20",17.34,12.27,30.99,7.62,9.67,0.66,128.95,2.46,2.1,5.93,1.27,8.48,43.03,4,91.19,2.93,124.57,9.64
TRT,"3,377,591.29","2,290,590.90","308,008.27","1,107,005.42","2,445,614.72","2,269,471.36","281,763.36","196,197.95","75,369.87",0.24,"313,754.72","220,232.60","-199,177.19","334,810.13",7.06,6.01,27.63,2.84,8.02,2.11,3.13,1.24,0.66,2.38,0.75,1.89,192.86,3.41,106.95,3.23,112.9,186.91
TSF,"207,242.65","813,132.03","677,075.88","-605,889.37","99,512.22","270,667.62","-134,602.81","-171,155.40","-171,451.66",-0.03,"-63,179.93","26,961.85","20,666.96","-15,551.12",-,-54.84,-34.21,-172.29,-171.99,-,-577.72,0.07,0.05,0.93,0.32,N/A,-,1.52,240.01,0.31,"1,191.32",-951.31
TURTLE,"318,639.63","44,604.29","365,549.29","274,110.55","107,255.66","100,506.85","25,450.68","6,748.81","-98,950.04",-0.27,"-76,572.76","-4,390.88",-386.1,"-81,349.74",-30.54,1.76,30.28,-92.25,6.29,0.16,12.03,9.03,8.27,8.61,0.28,2.9,125.65,3,121.76,1.22,298.27,-50.87
TVDH,"1,449,495.84","706,485.82","325,191.46","608,717.84","4,280,549.54","4,230,281.70","214,340.41","40,073.96","13,379.22",0.02,"298,727.49","-168,954.87","-156,947.42","-27,174.80",2.18,2.76,39.39,0.67,0.94,0.95,11.4,1.06,0.71,10.92,2.95,9.66,37.78,23.61,15.46,4.9,74.54,-21.3
TVT,"756,449.66","143,930.63","200,007.52","612,351.79","396,506.02","401,684.23","33,482.10","19,801.15","7,701.34",0.01,"57,716.44","5,001.38","-64,969.24","-2,251.41",1.2,2.61,27.96,1.01,4.99,0.23,85.45,2.02,1.18,0.97,0.52,6.32,57.71,3.43,106.3,4.43,82.37,81.64
UAC,"3,045,065.77","1,601,225.93","333,802.65","1,392,725.08","2,903,576.34","2,739,451.73","352,373.48","236,630.91","163,878.43",0.25,"911,464.86","-12,722.62","-937,711.56","-38,969.32",12.31,6.69,13.45,5.29,8.15,1.11,3.84,0.46,0.31,1.74,0.82,3.88,94.02,8,45.6,6.32,57.79,81.83
UBIS,"730,330.68","282,169.83","227,999.99","448,160.85","916,275.34","791,157.27","135,161.26","125,118.08","106,678.18",0.47,"122,263.80","-58,897.64","-76,722.02","-13,355.85",25.42,17.46,34.66,11.64,13.66,0.63,32.35,1.85,1.17,4.47,1.28,3.59,101.74,3.13,116.71,4.6,79.42,139.04
UEC,"1,561,601.00","253,482.00","142,628.00","1,308,119.00","894,776.00","1,105,980.00","-120,016.00","-159,116.00","-151,882.00",-0.27,"-121,459.00","215,569.00",-278,"93,832.00",-10.92,-9.92,-7.95,-16.97,-17.78,0.19,"-2,893.02",4.98,3.12,1.63,0.56,5.15,70.89,5.45,66.92,7.8,46.8,91.01
UKEM,"2,228,484.33","874,193.55","309,070.18","1,001,234.54","2,836,775.33","2,674,826.33","186,309.93","166,351.74","70,181.34",0.06,"283,726.75","-66,454.19","-127,605.24","89,667.32",7.2,7.3,16.13,4.21,5.86,0.65,11.65,2.13,1.63,10.87,1.24,5.48,66.58,3.51,103.92,6.86,53.19,117.31
UMS,"643,372.13","580,717.50","352,369.11","62,654.63","127,071.35","142,802.56","18,477.39","-15,731.21","-41,776.31",-0.06,"29,510.38","-10,166.90","-185,916.14","-166,572.66",-50.01,-2.11,25.95,-32.88,-12.38,9.27,-0.62,0.13,0.11,0.39,0.17,6.26,58.34,4.42,82.56,0.26,"1,427.86","-1,286.96"
UREKA,"337,735.97","109,514.55","158,884.96","217,430.87","266,371.31","270,310.45","22,900.33","5,219.55","-17,198.42",-0.03,"60,771.71","-8,081.18","-63,126.61","-10,436.08",-7.75,1.28,30.69,-7.39,1.96,0.48,0.69,1.26,0.63,1.67,0.65,3.08,118.42,2.81,129.94,4.26,85.68,162.67
VCOM,"1,161,049.82","654,223.13","150,000.00","440,004.56","1,781,826.57","1,682,205.93","115,516.27","99,620.63","66,778.20",0.22,"321,122.85","-29,277.51","-217,765.63","74,079.71",15.72,8.34,21.6,4.57,5.59,1.29,22.37,1.49,1.45,53.39,1.49,46.87,7.79,2.75,132.52,2.7,135.24,5.06
VL,"1,967,445.85","1,182,080.14","400,000.00","785,365.71","713,072.06","578,119.40","241,240.79","134,952.66","80,759.01",0.11,"233,698.94","-324,865.24","313,242.53","222,076.22",13.48,7.96,25.95,11.33,18.93,1.51,2.88,1.57,1.04,0.52,0.42,26.71,13.67,9.15,39.89,9.5,38.42,15.14
WINNER,"1,142,154.87","529,144.56","100,000.00","613,010.31","1,648,292.49","1,532,938.85","146,216.22","115,353.65","84,317.75",0.21,"122,736.98","-13,208.49","-113,997.71","-4,469.22",13.71,10.04,23.6,5.12,7,0.86,11.86,1.93,1.07,4.54,1.43,4.32,84.49,5.45,66.94,5.7,64.01,87.41
XO,"933,730.39","132,931.09","212,382.19","800,799.30","996,591.86","874,970.14","171,219.94","124,301.59","121,989.02",0.3,"145,721.92","-116,963.46","-154,325.50","-125,567.04",15.99,12.91,35.47,12.24,12.47,0.17,66.66,2.86,2.14,1.88,1.04,7.25,50.32,12.63,28.91,3.99,91.49,-12.26
YUASA,"1,250,495.24","478,952.20","107,625.00","771,543.04","2,257,785.86","2,085,477.76","223,330.85","175,868.53","138,919.74",1.29,"196,626.22","-101,253.83","-34,680.52","60,691.87",19.23,14.2,25.15,6.15,7.79,0.62,458.72,2.13,1.48,5.67,1.82,5.88,62.11,6.73,54.24,4.06,89.82,26.52
ZIGA,"1,158,630.37","405,820.93","260,000.00","752,809.45","795,301.03","740,505.98","70,629.84","54,795.05","35,260.11",0.07,"173,711.39","-62,171.86","29,224.20","140,763.73",4.67,4.66,9.92,4.43,6.89,0.54,4.48,2.8,1.68,1.46,0.68,2.09,174.76,7.82,46.66,7.73,47.2,174.22
