symbol,Total_Asset,Total_Liabilities,Paid-up,Equity,Revenue,Expenses,EBITDA,EBIT,NetProfit,EPS,OperatingCashFlow,InvestingCashFlow,FinancingCashFlow,NetCashFlow,ReturnOnEquity,ReturnOnAsset,GrossProfitMargin,NetProfitMargin,EBITMargin,DE,Int.Coverage,CurrentRatio,QuickRatio,FixedAssetTurnover,TotalAssetTurnover,InventoryTurnover,AverageSalePeriod,AccountsReceivableTurnover,AverageCollectionPeriod,AccountPayableTurnover,AveragePaymentPeriod,CashCycle
UKEM,"2,024,860.17","803,950.30","309,070.34","1,022,561.72","2,552,883.55","2,412,275.37","187,244.61","144,011.49","97,111.49",0.08,"257,494.73","-9,220.32","-365,802.59","-117,528.18",9.6,6.77,16.17,3.99,5.64,0.66,12.44,2.15,1.64,10.19,1.2,5.99,60.96,3.75,97.33,8.14,44.83,113.46
UMS,"835,016.42","609,438.56","572,599.80","225,577.85","121,742.42","153,160.00",754.48,"-31,249.36","-56,652.12",-0.08,"-3,098.09","-6,912.32","215,679.91","205,669.50",-39.31,-4.23,11.13,-46.53,-25.67,2.7,-1.24,0.47,0.46,0.33,0.16,10.64,34.29,4.54,80.41,2.33,156.74,-42.04
UREKA,"582,981.00","262,190.00","222,439.00","311,618.00","36,216.00","137,769.00","-80,052.00","-101,799.00","-106,086.00",-0.14,"35,663.00","-257,943.00","210,491.00","-11,789.00",-40.1,-22.11,13.12,-305.7,-281.09,0.82,-14.83,0.31,0.16,0.11,0.08,0.72,505.07,0.79,464.9,0.47,777.47,192.5
VCOM,"1,460,956.14","956,239.61","150,000.00","450,971.23","2,293,705.46","2,163,433.08","151,900.90","129,939.25","89,722.09",0.3,"42,081.36","-117,400.14","99,686.57","24,367.79",20.14,9.91,18.17,4.62,5.67,1.89,25.82,1.14,1.13,72.67,1.75,123.1,2.97,3.57,102.13,3.1,117.61,-12.52
VL,"1,763,669.55","927,071.20","400,000.00","836,598.35","649,051.64","522,178.29","237,893.40","130,615.01","84,400.95",0.11,"223,457.71","-104,446.41","-214,830.09","-95,818.79",10.41,7,26,13,20.12,1.11,3.44,1.9,1.27,0.45,0.35,26.07,14,9.58,38.11,12.04,30.33,21.78
WINNER,"1,181,145.09","561,896.44","100,000.00","619,248.65","1,698,267.33","1,576,128.54","160,572.95","122,138.80","84,525.61",0.21,"155,485.73","-19,262.45","-129,736.93","6,486.35",13.72,10.51,23.53,4.98,7.19,0.91,12.71,1.54,0.84,4.92,1.46,4.46,81.88,5.31,68.72,5.19,70.35,80.24
XO,"1,244,375.30","217,692.78","212,382.19","1,026,682.53","1,275,104.71","942,733.06","391,682.29","332,709.12","318,481.67",0.75,"413,225.89","-219,669.06","-121,661.29","71,895.54",34.85,30.55,40.59,24.98,26.09,0.21,155.44,3.64,1.28,2.47,1.17,8.11,45.03,14.06,25.96,5.65,64.66,6.33
YGG,"395,338.87","33,440.70","90,000.00","361,898.17","228,064.35","169,145.17","75,706.54","57,438.41","56,569.57",0.31,"101,511.68","-158,335.54","-93,761.23","-150,585.09",15.66,14.04,40.85,24.8,25.19,0.09,49.57,15.43,5.12,3.96,0.56,"1,236.43",0.3,7.68,47.54,9.33,39.12,8.72
YUASA,"1,412,244.35","526,019.87","107,625.00","886,224.48","2,075,546.85","1,878,225.75","243,345.82","197,321.10","158,177.31",1.47,"204,995.95","3,416.72","-41,180.32","167,232.35",19.08,14.82,27.9,7.62,9.51,0.59,247.83,2.31,1.71,5.2,1.56,5.92,61.7,6.1,59.84,3.92,93.07,28.47
ZIGA,"1,383,602.36","563,383.14","260,000.00","820,219.21","995,677.65","834,161.46","186,594.58","161,516.18","117,706.97",0.23,"10,386.76","-124,373.16","53,701.64","-60,284.77",14.97,12.71,20.57,11.82,16.22,0.69,9.84,1.68,0.88,1.6,0.78,2.81,129.93,7.81,46.75,16.75,21.79,154.9
